"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_L_SCBCON_EDW_EVENT_MAPPING","EVENT_CODE","LEFT(EVENT_CODE,8)","1","1","0","0","1","0","0","0","0","1","2023-03-11 23:48:41.929","Common_Team"
"INT_L_SCBCON_EDW_EVENT_MAPPING","EVENT_NAME","LEFT(EVENT_NAME,100)","1","1","0","0","0","0","0","0","0","2","2023-03-11 23:48:41.929","Common_Team"
"INT_L_SCBCON_EDW_EVENT_MAPPING","CATEGORY","LEFT(CATEGORY,100)","1","1","0","0","0","0","0","0","0","3","2023-03-11 23:48:41.929","Common_Team"
"INT_L_SCBCON_EDW_EVENT_MAPPING","START_DT","","0","1","0","0","0","0","0","0","0","4","2023-03-11 23:48:41.929","paramee"
"INT_L_SCBCON_EDW_EVENT_MAPPING","END_DT","","0","1","0","0","0","0","0","0","0","5","2023-03-11 23:48:41.929","paramee"
"INT_L_SCBCON_EDW_EVENT_MAPPING","RECORD_DELETED_FLAG","","0","1","0","0","0","0","0","0","0","6","2023-03-11 23:48:41.929","paramee"
"INT_L_SCBCON_EDW_EVENT_MAPPING","CTL_ID","","0","1","0","0","0","0","0","0","0","7","2023-03-11 23:48:41.929","paramee"
"INT_L_SCBCON_EDW_EVENT_MAPPING","INS_PROC_NAME","","0","1","0","0","0","0","0","0","0","8","2023-03-11 23:48:41.929","paramee"
"INT_L_SCBCON_EDW_EVENT_MAPPING","INS_TXF_BATCHID","","0","1","0","0","0","0","0","0","0","9","2023-03-11 23:48:41.929","paramee"
"INT_L_SCBCON_EDW_EVENT_MAPPING","UPD_PROC_NAME","","0","1","0","0","0","0","0","0","0","10","2023-03-11 23:48:41.929","paramee"
"INT_L_SCBCON_EDW_EVENT_MAPPING","UPD_TXF_BATCHID","","0","1","0","0","0","0","0","0","0","11","2023-03-11 23:48:41.929","paramee"
