"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_T_AGMT_ICORE_LNA_DRAWDOWN","Org_Id","LEFT(Org_Id,10)","1","1","1","1","1","0","1","0","0","1","2023-03-12 00:59:33.588","Common_Team"
"INT_T_AGMT_ICORE_LNA_DRAWDOWN","Loan_No","LEFT(Loan_No,50)","1","1","1","1","1","0","1","0","0","2","2023-03-12 00:59:33.588","Common_Team"
"INT_T_AGMT_ICORE_LNA_DRAWDOWN","Ccy_Code","LEFT(Ccy_Code,3)","1","1","1","1","1","0","1","0","0","3","2023-03-12 00:59:33.588","Common_Team"
"INT_T_AGMT_ICORE_LNA_DRAWDOWN","Limit_Ind","LEFT(Limit_Ind,1)","1","1","1","0","0","0","1","0","0","4","2023-03-12 00:59:33.588","Common_Team"
"INT_T_AGMT_ICORE_LNA_DRAWDOWN","Max_Dwdn_Amt","VICORE_AGMT_ICORE_LNA_DRAWDOWN.Max_Dwdn_Amt","0","1","1","0","0","0","1","0","0","5","2023-03-12 00:59:33.588","INT_BENJAPONP"
"INT_T_AGMT_ICORE_LNA_DRAWDOWN","Min_Dwdn_Amt","VICORE_AGMT_ICORE_LNA_DRAWDOWN.Min_Dwdn_Amt","0","1","1","0","0","0","1","0","0","6","2023-03-12 00:59:33.588","INT_BENJAPONP"
"INT_T_AGMT_ICORE_LNA_DRAWDOWN","Max_Loan_Tenor","LEFT(Max_Loan_Tenor,8)","1","1","1","0","0","0","1","0","0","7","2023-03-12 00:59:33.588","Common_Team"
"INT_T_AGMT_ICORE_LNA_DRAWDOWN","Min_Loan_Tenor","LEFT(Min_Loan_Tenor,8)","1","1","1","0","0","0","1","0","0","8","2023-03-12 00:59:33.588","Common_Team"
"INT_T_AGMT_ICORE_LNA_DRAWDOWN","Max_Dwdn_Count","VICORE_AGMT_ICORE_LNA_DRAWDOWN.Max_Dwdn_Count","0","1","1","0","0","0","1","0","0","9","2023-03-12 00:59:33.588","INT_BENJAPONP"
"INT_T_AGMT_ICORE_LNA_DRAWDOWN","Max_Loan_Amt","VICORE_AGMT_ICORE_LNA_DRAWDOWN.Max_Loan_Amt","0","1","1","0","0","0","1","0","0","10","2023-03-12 00:59:33.588","INT_BENJAPONP"
"INT_T_AGMT_ICORE_LNA_DRAWDOWN","Min_Loan_Amt","VICORE_AGMT_ICORE_LNA_DRAWDOWN.Min_Loan_Amt","0","1","1","0","0","0","1","0","0","11","2023-03-12 00:59:33.588","INT_BENJAPONP"
"INT_T_AGMT_ICORE_LNA_DRAWDOWN","Dwdn_Period","VICORE_AGMT_ICORE_LNA_DRAWDOWN.Dwdn_Period","0","1","1","0","0","0","1","0","0","12","2023-03-12 00:59:33.588","INT_BENJAPONP"
"INT_T_AGMT_ICORE_LNA_DRAWDOWN","Min_Dwdn_Interval","VICORE_AGMT_ICORE_LNA_DRAWDOWN.Min_Dwdn_Interval","0","1","1","0","0","0","1","0","0","13","2023-03-12 00:59:33.588","INT_BENJAPONP"
