"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_T_BR_FCLGDCLOS_01","CUSTOMERID","TVBRR_FCLGDCLOS_01.CUSTOMERID","0","1","1","0","0","0","0","0","0","1","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","ITEMID","TVBRR_FCLGDCLOS_01.ITEMID","0","1","1","0","0","0","0","0","0","2","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","CLASSID","TVBRR_FCLGDCLOS_01.CLASSID","0","1","1","0","0","0","0","0","0","3","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","CONCEPTID","TVBRR_FCLGDCLOS_01.CONCEPTID","0","1","1","0","0","0","0","0","0","4","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","VALUETYPE","TVBRR_FCLGDCLOS_01.VALUETYPE","0","1","1","0","0","0","0","0","0","5","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","CONCEPTVALUE","TVBRR_FCLGDCLOS_01.CONCEPTVALUE","0","1","1","0","0","0","0","0","0","6","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","IOTYPE","TVBRR_FCLGDCLOS_01.IOTYPE","0","1","1","0","0","0","0","0","0","7","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","START_DT","TVBRR_FCLGDCLOS_01.START_DT","0","1","1","0","0","0","0","0","0","8","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","END_DT","TVBRR_FCLGDCLOS_01.END_DT","0","1","1","0","0","0","0","0","0","9","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","RECORD_DELETED_FLAG","TVBRR_FCLGDCLOS_01.RECORD_DELETED_FLAG","0","1","1","0","0","0","0","0","0","10","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","CTL_ID","TVBRR_FCLGDCLOS_01.CTL_ID","0","1","1","0","0","0","0","0","0","11","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","INS_PROC_NAME","TVBRR_FCLGDCLOS_01.INS_PROC_NAME","0","1","1","0","0","0","0","0","0","12","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","INS_TXF_BATCHID","TVBRR_FCLGDCLOS_01.INS_TXF_BATCHID","0","1","1","0","0","0","0","0","0","13","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","UPD_PROC_NAME","TVBRR_FCLGDCLOS_01.UPD_PROC_NAME","0","1","1","0","0","0","0","0","0","14","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","UPD_TXF_BATCHID","TVBRR_FCLGDCLOS_01.UPD_TXF_BATCHID","0","1","1","0","0","0","0","0","0","15","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","BK_RISKGRADE_098_001","TVBRR_FCLGDCLOS_01.BK_RISKGRADE_098_001","0","1","1","0","0","0","0","0","0","16","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","UPCUST_BK","TVBRR_FCLGDCLOS_01.UPCUST_BK","0","1","1","0","0","0","0","0","0","17","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","UPCUST_CUS","TVBRR_FCLGDCLOS_01.UPCUST_CUS","0","1","1","0","0","0","0","0","0","18","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","LOS_PRCTRL_BKEY","TVBRR_FCLGDCLOS_01.LOS_PRCTRL_BKEY","0","1","1","0","0","0","0","0","0","19","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","LOS_PRCTRL_UC","TVBRR_FCLGDCLOS_01.LOS_PRCTRL_UC","0","1","1","0","0","0","0","0","0","20","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","LOS_PRCTRL_CREF","TVBRR_FCLGDCLOS_01.LOS_PRCTRL_CREF","0","1","1","0","0","0","0","0","0","21","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","LOS_PRCTRL_START_DT","TVBRR_FCLGDCLOS_01.LOS_PRCTRL_START_DT","0","1","1","0","0","0","0","0","0","22","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","DATEDECISIONED","TVBRR_FCLGDCLOS_01.DATEDECISIONED","0","1","1","0","0","0","0","0","0","23","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","ID","TVBRR_FCLGDCLOS_01.ID","0","1","1","0","0","0","0","0","0","24","2023-03-12 02:25:17.310","Phase2"
"INT_T_BR_FCLGDCLOS_01","TEMP_BASE_ACCOUNT_NUM","LEFT(TEMP_BASE_ACCOUNT_NUM,100)","1","1","1","0","0","0","0","0","0","25","2023-03-12 02:25:17.310","Common_Team"
