"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_T_IX_CREDITAGREEM_01","Account_Num","LEFT(Account_Num,100)","1","1","1","1","1","0","0","0","0","1","2023-03-12 01:08:59.813","Common_Team"
"INT_T_IX_CREDITAGREEM_01","Account_Modifier_Num","LEFT(Account_Modifier_Num,20)","1","1","1","1","1","0","0","0","0","2","2023-03-12 01:08:59.813","Common_Team"
"INT_T_IX_CREDITAGREEM_01","Financing_Agmt_Past_Due_Amt","VIX_CREDITAGREEM_01.Financing_Agmt_Past_Due_Amt","0","1","1","0","0","0","0","0","0","3","2023-03-12 01:08:59.813","Phase2"
"INT_T_IX_CREDITAGREEM_01","Acct_Crncy_Past_Due_Amt","VIX_CREDITAGREEM_01.Acct_Crncy_Past_Due_Amt","0","1","1","0","0","0","0","0","0","4","2023-03-12 01:08:59.813","Phase2"
"INT_T_IX_CREDITAGREEM_01","Financing_Agmt_Charge_Off_Amt","VIX_CREDITAGREEM_01.Financing_Agmt_Charge_Off_Amt","0","1","1","0","0","0","0","0","0","5","2023-03-12 01:08:59.813","Phase2"
"INT_T_IX_CREDITAGREEM_01","Acct_Crncy_Agmt_Charge_Off_Amt","VIX_CREDITAGREEM_01.Acct_Crncy_Agmt_Charge_Off_Amt","0","1","1","0","0","0","0","0","0","6","2023-03-12 01:08:59.813","Phase2"
"INT_T_IX_CREDITAGREEM_01","Financing_Agmt_Last_Pmt_Dt","VIX_CREDITAGREEM_01.Financing_Agmt_Last_Pmt_Dt","0","1","1","0","0","0","0","0","0","7","2023-03-12 01:08:59.813","Phase2"
"INT_T_IX_CREDITAGREEM_01","Financing_Agmt_Last_Pmt_Amt","VIX_CREDITAGREEM_01.Financing_Agmt_Last_Pmt_Amt","0","1","1","0","0","0","0","0","0","8","2023-03-12 01:08:59.813","Phase2"
"INT_T_IX_CREDITAGREEM_01","Acct_Crncy_Last_Pmt_Amt","VIX_CREDITAGREEM_01.Acct_Crncy_Last_Pmt_Amt","0","1","1","0","0","0","0","0","0","9","2023-03-12 01:08:59.813","Phase2"
"INT_T_IX_CREDITAGREEM_01","Credit_Agreement_Categ_Cd","VIX_CREDITAGREEM_01.Credit_Agreement_Categ_Cd","0","1","1","0","0","0","0","0","0","10","2023-03-12 01:08:59.813","Phase2"
"INT_T_IX_CREDITAGREEM_01","Financing_Agmt_Chrg_Off_Dt","VIX_CREDITAGREEM_01.Financing_Agmt_Chrg_Off_Dt","0","1","1","0","0","0","0","0","0","11","2023-03-12 01:08:59.813","Phase2"
"INT_T_IX_CREDITAGREEM_01","Revolving_Credit_Agmt_Ind","LEFT(Revolving_Credit_Agmt_Ind,3)","1","1","1","0","0","0","0","0","0","13","2023-03-12 01:08:59.813","Common_Team"
"INT_T_IX_CREDITAGREEM_01","Beneficiary_Name","LEFT(VIX_CREDITAGREEM_01.Beneficiary_Name , 100)","1","1","1","0","0","0","0","0","0","14","2023-03-12 01:08:59.813","Phase2"
"INT_T_IX_CREDITAGREEM_01","Beneficiary_Cd","VIX_CREDITAGREEM_01.Beneficiary_Cd","0","1","1","0","0","0","0","0","0","15","2023-03-12 01:08:59.813","Phase2"
"INT_T_IX_CREDITAGREEM_01","Ctl_Id","'018'","1","1","1","0","0","0","0","1","0","20","2023-03-12 01:08:59.813","Phase2"
