"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_T_LEAD_FINANCEACCT","REFNO","LEFT(REFNO,15)","1","1","1","1","1","0","0","0","0","1","2023-03-11 23:47:44.013","Common_Team"
"INT_T_LEAD_FINANCEACCT","REFSEQ","VEDW_LEAD_FINANCEACCT_01.REFSEQ","0","1","1","1","1","0","0","0","0","2","2023-03-11 23:47:44.013","Phase3"
"INT_T_LEAD_FINANCEACCT","BPNLID","LEFT(BPNLID,20)","1","1","1","1","1","0","0","0","0","3","2023-03-11 23:47:44.013","Common_Team"
"INT_T_LEAD_FINANCEACCT","ACCSEQ","VEDW_LEAD_FINANCEACCT_01.ACCSEQ","0","1","1","1","1","0","0","0","0","4","2023-03-11 23:47:44.013","Phase3"
"INT_T_LEAD_FINANCEACCT","STATEMENTSEQ","VEDW_LEAD_FINANCEACCT_01.STATEMENTSEQ","0","1","1","1","1","0","0","0","0","5","2023-03-11 23:47:44.013","Phase3"
"INT_T_LEAD_FINANCEACCT","ACCTID","LEFT(ACCTID,20)","1","1","1","0","0","0","0","0","0","6","2023-03-11 23:47:44.013","Common_Team"
"INT_T_LEAD_FINANCEACCT","BANKNAME","LEFT(BANKNAME,200)","1","1","1","0","0","0","0","0","0","7","2023-03-11 23:47:44.013","Common_Team"
"INT_T_LEAD_FINANCEACCT","ACCOUNTTYPE","LEFT(ACCOUNTTYPE,2)","1","1","1","0","0","0","0","0","0","8","2023-03-11 23:47:44.013","Common_Team"
"INT_T_LEAD_FINANCEACCT","AVGDEPOSITEACHMONTH","VEDW_LEAD_FINANCEACCT_01.AVGDEPOSITEACHMONTH","0","1","1","0","0","0","0","0","0","9","2023-03-11 23:47:44.013","Phase3"
"INT_T_LEAD_FINANCEACCT","AVGTIMEDEPOSIT","VEDW_LEAD_FINANCEACCT_01.AVGTIMEDEPOSIT","0","1","1","0","0","0","0","0","0","10","2023-03-11 23:47:44.013","Phase3"
"INT_T_LEAD_FINANCEACCT","AVGWITHDRAWALEACHMONTH","VEDW_LEAD_FINANCEACCT_01.AVGWITHDRAWALEACHMONTH","0","1","1","0","0","0","0","0","0","11","2023-03-11 23:47:44.013","Phase3"
"INT_T_LEAD_FINANCEACCT","AVGTIMEWITHDRAWAL","VEDW_LEAD_FINANCEACCT_01.AVGTIMEWITHDRAWAL","0","1","1","0","0","0","0","0","0","12","2023-03-11 23:47:44.013","Phase3"
"INT_T_LEAD_FINANCEACCT","BALANCEONMONTHEND","VEDW_LEAD_FINANCEACCT_01.BALANCEONMONTHEND","0","1","1","0","0","0","0","0","0","13","2023-03-11 23:47:44.013","Phase3"
"INT_T_LEAD_FINANCEACCT","TIMERETURNCHEQUE","VEDW_LEAD_FINANCEACCT_01.TIMERETURNCHEQUE","0","1","1","0","0","0","0","0","0","14","2023-03-11 23:47:44.013","Phase3"
"INT_T_LEAD_FINANCEACCT","XREF_ACCT_ID","VEDW_LEAD_FINANCEACCT_01.XREF_ACCT_ID","0","1","1","0","0","0","0","0","0","15","2023-03-11 23:47:44.013","Phase3"
"INT_T_LEAD_FINANCEACCT","CTL_ID","'025'","1","1","1","0","0","0","0","1","0","19","2023-03-11 23:47:44.013","Phase3"
