"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_T_LEAD_INCLACINS","REFNO","LEFT(REFNO,20)","1","1","1","1","1","0","0","0","0","1","2023-03-12 02:30:18.869","Common_Team"
"INT_T_LEAD_INCLACINS","REFSEQ","VEDW_LEAD_INCLACINS_01.REFSEQ","0","1","1","1","1","0","0","0","0","2","2023-03-12 02:30:18.869","Phase3"
"INT_T_LEAD_INCLACINS","CR_LINE","LEFT(CR_LINE,10)","1","1","1","1","1","0","0","0","0","3","2023-03-12 02:30:18.869","Common_Team"
"INT_T_LEAD_INCLACINS","ACC_SIM","LEFT(ACC_SIM,10)","1","1","1","1","1","0","0","0","0","4","2023-03-12 02:30:18.869","Common_Team"
"INT_T_LEAD_INCLACINS","SEQ","VEDW_LEAD_INCLACINS_01.SEQ","0","1","1","1","1","0","0","0","0","5","2023-03-12 02:30:18.869","Phase3"
"INT_T_LEAD_INCLACINS","GROUPOFADDSERVICE","LEFT(GROUPOFADDSERVICE,5)","1","1","1","0","0","0","0","0","0","6","2023-03-12 02:30:18.869","Common_Team"
"INT_T_LEAD_INCLACINS","TYPEOFADDSERVICE","LEFT(TYPEOFADDSERVICE,5)","1","1","1","0","0","0","0","0","0","7","2023-03-12 02:30:18.869","Common_Team"
"INT_T_LEAD_INCLACINS","INSURANCEPLANAMOUNT","VEDW_LEAD_INCLACINS_01.INSURANCEPLANAMOUNT","0","1","1","0","0","0","0","0","0","8","2023-03-12 02:30:18.869","Phase3"
"INT_T_LEAD_INCLACINS","INSURANCEPERIOD","VEDW_LEAD_INCLACINS_01.INSURANCEPERIOD","0","1","1","0","0","0","0","0","0","9","2023-03-12 02:30:18.869","Phase3"
"INT_T_LEAD_INCLACINS","INSURENAME","LEFT(INSURENAME,100)","1","1","1","0","0","0","0","0","0","10","2023-03-12 02:30:18.869","Common_Team"
"INT_T_LEAD_INCLACINS","INSURANCEPERMIUMAMT","VEDW_LEAD_INCLACINS_01.INSURANCEPERMIUMAMT","0","1","1","0","0","0","0","0","0","11","2023-03-12 02:30:18.869","Phase3"
"INT_T_LEAD_INCLACINS","INSURANCECREDITLINE","LEFT(INSURANCECREDITLINE,5)","1","1","1","0","0","0","0","0","0","12","2023-03-12 02:30:18.869","Common_Team"
"INT_T_LEAD_INCLACINS","XREF_CUST_ID","VEDW_LEAD_INCLACINS_01.XREF_CUST_ID","0","1","1","0","0","0","0","0","0","13","2023-03-12 02:30:18.869","Phase3"
"INT_T_LEAD_INCLACINS","CTL_ID","'025'","1","1","1","0","0","0","0","1","0","17","2023-03-12 02:30:18.869","Phase3"
