"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_T_LEAD_INCLAF_FOLLOWUP","REFNO","LEFT(REFNO,15)","1","1","1","1","1","0","0","0","0","1","2023-03-12 02:23:30.356","Common_Team"
"INT_T_LEAD_INCLAF_FOLLOWUP","REFSEQ","VLEAD_INCLAF_FOLLOWUP_01.REFSEQ","0","1","1","1","1","0","0","0","0","2","2023-03-12 02:23:30.356","Phase3"
"INT_T_LEAD_INCLAF_FOLLOWUP","FU_SEQ","VLEAD_INCLAF_FOLLOWUP_01.FU_SEQ","0","1","1","1","1","0","0","0","0","3","2023-03-12 02:23:30.356","Phase3"
"INT_T_LEAD_INCLAF_FOLLOWUP","ID","VLEAD_INCLAF_FOLLOWUP_01.ID","0","1","1","1","1","0","0","0","0","4","2023-03-12 02:23:30.356","Phase3"
"INT_T_LEAD_INCLAF_FOLLOWUP","FUTYPE","LEFT(FUTYPE,50)","1","1","1","0","0","0","0","0","0","5","2023-03-12 02:23:30.356","Common_Team"
"INT_T_LEAD_INCLAF_FOLLOWUP","FUREASONS","LEFT(FUREASONS,500)","1","1","1","0","0","0","0","0","0","6","2023-03-12 02:23:30.356","Common_Team"
"INT_T_LEAD_INCLAF_FOLLOWUP","CREATEDATETIME","VLEAD_INCLAF_FOLLOWUP_01.CREATEDATETIME","0","1","1","0","0","0","0","0","0","7","2023-03-12 02:23:30.356","Phase3"
"INT_T_LEAD_INCLAF_FOLLOWUP","CREATEOPERATOR","LEFT(CREATEOPERATOR,10)","1","1","1","0","0","0","0","0","0","8","2023-03-12 02:23:30.356","Common_Team"
"INT_T_LEAD_INCLAF_FOLLOWUP","CREATEOPNAME","LEFT(CREATEOPNAME,100)","1","1","1","0","0","0","0","0","0","9","2023-03-12 02:23:30.356","Common_Team"
"INT_T_LEAD_INCLAF_FOLLOWUP","SDREDESC","LEFT(SDREDESC,255)","1","1","1","0","0","0","0","0","0","10","2023-03-12 02:23:30.356","Common_Team"
"INT_T_LEAD_INCLAF_FOLLOWUP","SDRESEQ","VLEAD_INCLAF_FOLLOWUP_01.SDRESEQ","0","1","1","0","0","0","0","0","0","11","2023-03-12 02:23:30.356","Phase3"
"INT_T_LEAD_INCLAF_FOLLOWUP","SDRSSDGFKEY","VLEAD_INCLAF_FOLLOWUP_01.SDRSSDGFKEY","0","1","1","0","0","0","0","0","0","12","2023-03-12 02:23:30.356","Phase3"
"INT_T_LEAD_INCLAF_FOLLOWUP","CTL_ID","'025'","1","1","1","0","0","0","0","1","0","16","2023-03-12 02:23:30.356","Phase3"
