"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_T_LEAD_SADOW","ADDR_OWNER_CD","LEFT(ADDR_OWNER_CD,1)","1","1","1","1","1","0","0","0","0","1","2023-03-12 01:26:47.577","Common_Team"
"INT_T_LEAD_SADOW","VALUE_SHRT_TDESC","LEFT(VALUE_SHRT_TDESC,70)","1","1","1","0","0","0","0","0","0","2","2023-03-12 01:26:47.577","Common_Team"
"INT_T_LEAD_SADOW","VALUE_LONG_TDESC","LEFT(VALUE_LONG_TDESC,70)","1","1","1","0","0","0","0","0","0","3","2023-03-12 01:26:47.577","Common_Team"
"INT_T_LEAD_SADOW","VALUE_SHRT_EDESC","LEFT(VALUE_SHRT_EDESC,70)","1","1","1","0","0","0","0","0","0","4","2023-03-12 01:26:47.577","Common_Team"
"INT_T_LEAD_SADOW","VALUE_LONG_EDESC","LEFT(VALUE_LONG_EDESC,70)","1","1","1","0","0","0","0","0","0","5","2023-03-12 01:26:47.577","Common_Team"
"INT_T_LEAD_SADOW","MODBY","LEFT(MODBY,8)","1","1","1","0","0","0","0","0","0","6","2023-03-12 01:26:47.577","Common_Team"
"INT_T_LEAD_SADOW","MODDATE","VEDW_LEAD_SADOW_01.MODDATE","0","1","1","0","0","0","0","0","0","7","2023-03-12 01:26:47.577","Phase3"
"INT_T_LEAD_SADOW","LIV","LEFT(LIV,2)","1","1","1","0","0","0","0","0","0","8","2023-03-12 01:26:47.577","Common_Team"
"INT_T_LEAD_SADOW","STATUS_CD","LEFT(STATUS_CD,10)","1","1","1","0","0","0","0","0","0","9","2023-03-12 01:26:47.577","Common_Team"
"INT_T_LEAD_SADOW","CTL_ID","'025'","1","1","1","0","0","0","0","1","0","13","2023-03-12 01:26:47.577","Phase3"
