"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_T_SCBCON_AGREEMENT_01","ACCOUNT_NUM","LEFT(ACCOUNT_NUM,100)","1","1","1","0","1","0","0","0","0","1","2023-03-12 01:26:41.736","Common_Team"
"INT_T_SCBCON_AGREEMENT_01","ACCOUNT_MODIFIER_NUM","LEFT(ACCOUNT_MODIFIER_NUM,20)","1","1","1","0","1","0","0","0","0","2","2023-03-12 01:26:41.736","Common_Team"
"INT_T_SCBCON_AGREEMENT_01","ACCOUNT_OPEN_DT","VSCBCON_AGREEMENT_01.ACCOUNT_OPEN_DT","0","1","1","0","0","0","0","0","0","8","2023-03-12 01:26:41.736","IBM_ARISA"
"INT_T_SCBCON_AGREEMENT_01","ACCOUNT_OPEN_TM","VSCBCON_AGREEMENT_01.ACCOUNT_OPEN_TM","0","1","1","0","0","0","0","0","0","9","2023-03-12 01:26:41.736","IBM_ARISA"
"INT_T_SCBCON_AGREEMENT_01","BASE_ACCOUNT_NUM","LEFT(BASE_ACCOUNT_NUM,100)","1","1","1","0","0","0","0","0","0","21","2023-03-12 01:26:41.736","Common_Team"
"INT_T_SCBCON_AGREEMENT_01","AGREEMENT_COMMENT_TXT","LEFT(AGREEMENT_COMMENT_TXT,250)","1","1","1","0","0","0","0","0","0","25","2023-03-12 01:26:41.736","Common_Team"
"INT_T_SCBCON_AGREEMENT_01","START_DT","","0","1","1","0","0","0","0","0","0","29","2023-03-12 01:26:41.736","IBM_ARISA"
"INT_T_SCBCON_AGREEMENT_01","END_DT","","0","1","1","0","0","0","0","0","0","30","2023-03-12 01:26:41.736","IBM_ARISA"
"INT_T_SCBCON_AGREEMENT_01","RECORD_DELETED_FLAG","","0","1","1","0","0","0","0","0","0","31","2023-03-12 01:26:41.736","IBM_ARISA"
"INT_T_SCBCON_AGREEMENT_01","CTL_ID","'108'","1","1","1","0","0","0","0","1","0","32","2023-03-12 01:26:41.736","IBM_ARISA"
"INT_T_SCBCON_AGREEMENT_01","INS_TXF_BATCH_ID","","0","1","1","0","0","0","0","0","0","33","2023-03-12 01:26:41.736","IBM_ARISA"
"INT_T_SCBCON_AGREEMENT_01","UPD_TXF_BATCH_ID","","0","1","1","0","0","0","0","0","0","34","2023-03-12 01:26:41.736","IBM_ARISA"
"INT_T_SCBCON_AGREEMENT_01","INS_PROC_NAME","","0","1","1","0","0","0","0","0","0","35","2023-03-12 01:26:41.736","IBM_ARISA"
"INT_T_SCBCON_AGREEMENT_01","UPD_PROC_NAME","","0","1","1","0","0","0","0","0","0","36","2023-03-12 01:26:41.736","IBM_ARISA"
