"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_T_TR_TRDSTMINSTN_01","Account_Num","LEFT(Account_Num,100)","1","1","1","0","1","0","0","0","0","1","2023-03-12 03:58:31.557","Common_Team"
"INT_T_TR_TRDSTMINSTN_01","Account_Modifier_Num","LEFT(Account_Modifier_Num,20)","1","1","1","0","1","0","0","0","0","2","2023-03-12 03:58:31.557","Common_Team"
"INT_T_TR_TRDSTMINSTN_01","Trade_Settlement_Start_Dttm","VTR_TRDSTMINSTN_01.Trade_Settlement_Start_Dttm","0","1","1","0","0","0","0","0","0","3","2023-03-12 03:58:31.557","IBM_TANAPORN"
"INT_T_TR_TRDSTMINSTN_01","Trade_Settlement_End_Dttm","VTR_TRDSTMINSTN_01.Trade_Settlement_End_Dttm","0","1","1","0","0","0","0","0","0","4","2023-03-12 03:58:31.557","IBM_TANAPORN"
"INT_T_TR_TRDSTMINSTN_01","Originator_Party_Id","VTR_TRDSTMINSTN_01.Originator_Party_Id","0","1","1","0","0","0","0","0","0","5","2023-03-12 03:58:31.557","IBM_TANAPORN"
"INT_T_TR_TRDSTMINSTN_01","Payment_Timing_Type_Cd","VTR_TRDSTMINSTN_01.Payment_Timing_Type_Cd","0","1","1","0","0","0","0","0","0","6","2023-03-12 03:58:31.557","IBM_TANAPORN"
"INT_T_TR_TRDSTMINSTN_01","Settlement_Delivery_Type_Cd","VTR_TRDSTMINSTN_01.Settlement_Delivery_Type_Cd","0","1","1","0","0","0","0","0","0","7","2023-03-12 03:58:31.557","IBM_TANAPORN"
"INT_T_TR_TRDSTMINSTN_01","Settlement_Direction_Type_Cd","VTR_TRDSTMINSTN_01.Settlement_Direction_Type_Cd","0","1","1","0","0","0","0","0","0","8","2023-03-12 03:58:31.557","IBM_TANAPORN"
"INT_T_TR_TRDSTMINSTN_01","Domestic_Foreign_Type_Cd","VTR_TRDSTMINSTN_01.Domestic_Foreign_Type_Cd","0","1","1","0","0","0","0","0","0","9","2023-03-12 03:58:31.557","IBM_TANAPORN"
"INT_T_TR_TRDSTMINSTN_01","Split_Settlement_Type_Cd","VTR_TRDSTMINSTN_01.Split_Settlement_Type_Cd","0","1","1","0","0","0","0","0","0","10","2023-03-12 03:58:31.557","IBM_TANAPORN"
"INT_T_TR_TRDSTMINSTN_01","Channel_Risk_Grade_Id","VTR_TRDSTMINSTN_01.Channel_Risk_Grade_Id","0","1","1","0","0","0","0","0","0","11","2023-03-12 03:58:31.557","IBM_TANAPORN"
"INT_T_TR_TRDSTMINSTN_01","Ctl_Id","'017'","1","1","1","0","0","0","0","1","0","15","2023-03-12 03:58:31.557","IBM_TANAPORN"
