"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_T_SFC_ASSET_ALLOC_CH","CUST_KEY","TVSFC_ASSET_ALLOC_CH.CUST_KEY","0","1","1","1","1","0","0","0","0","1","2023-03-12 07:00:29.839","Phase3.5"
"INT_T_SFC_ASSET_ALLOC_CH","RECORD_TYPE","LEFT(RECORD_TYPE,2)","1","1","1","1","1","0","0","0","0","2","2023-03-12 07:00:29.839","Common_Team"
"INT_T_SFC_ASSET_ALLOC_CH","ASSET_CLASS_CODE","LEFT(ASSET_CLASS_CODE,5)","1","1","1","1","1","0","0","0","0","3","2023-03-12 07:00:29.839","Common_Team"
"INT_T_SFC_ASSET_ALLOC_CH","ASSET_SUB_CLASS_CODE","LEFT(ASSET_SUB_CLASS_CODE,4)","1","1","1","1","1","0","0","0","0","4","2023-03-12 07:00:29.839","Common_Team"
"INT_T_SFC_ASSET_ALLOC_CH","FUND_CODE","LEFT(FUND_CODE,16)","1","1","1","1","1","0","0","0","0","5","2023-03-12 07:00:29.839","Common_Team"
"INT_T_SFC_ASSET_ALLOC_CH","FUND_NAME","LEFT(FUND_NAME,128)","1","1","1","0","0","0","0","0","0","6","2023-03-12 07:00:29.839","Common_Team"
"INT_T_SFC_ASSET_ALLOC_CH","CURRENT_AMOUNT","TVSFC_ASSET_ALLOC_CH.CURRENT_AMOUNT","0","1","1","0","0","0","0","0","0","7","2023-03-12 07:00:29.839","Phase3.5"
"INT_T_SFC_ASSET_ALLOC_CH","RETURN_HOLDING","TVSFC_ASSET_ALLOC_CH.RETURN_HOLDING","0","1","1","0","0","0","0","0","0","8","2023-03-12 07:00:29.839","Phase3.5"
"INT_T_SFC_ASSET_ALLOC_CH","RETURN_ANNUAL","TVSFC_ASSET_ALLOC_CH.RETURN_ANNUAL","0","1","1","0","0","0","0","0","0","9","2023-03-12 07:00:29.839","Phase3.5"
"INT_T_SFC_ASSET_ALLOC_CH","AS_OF_DT","TVSFC_ASSET_ALLOC_CH.AS_OF_DT","0","1","1","1","1","0","0","0","0","10","2023-03-12 07:00:29.839","Phase3.5"
"INT_T_SFC_ASSET_ALLOC_CH","AS_OF_DT_CHAR","CAST(TO_DATE(TVSFC_ASSET_ALLOC_CH.AS_OF_DT,'yyyy-MM-dd') AS VARCHAR(10))","0","1","1","0","0","0","0","0","0","11","2023-03-12 07:00:29.839","hathaipat"
"INT_T_SFC_ASSET_ALLOC_CH","CTL_ID","'328'","1","1","1","0","0","0","0","1","0","15","2023-03-12 07:00:29.839","Phase3.5"
